"","GEOID","incomeMob.pctile.fac","pctile.range","LE","STATEFP10","COUNTYFP10","kfr_pooled_pooled_p25"
"1","22071000100","3","36 - 41",78.4,"22","071",0.38154164
"2","22071000200","1","22 - 32",73.5,"22","071",0.31121925
"3","22071000300","1","22 - 32",71.3,"22","071",0.30259681
"4","22071000400","1","22 - 32",75.6,"22","071",0.32224023
"5","22071000601","1","22 - 32",71.3,"22","071",0.25835225
"6","22071000602","2","33 - 36",77.5,"22","071",0.33021662
"7","22071000603","2","33 - 36",72.9,"22","071",0.35053957
"8","22071000604","2","33 - 36",73.2,"22","071",0.33134073
"9","22071000605","2","33 - 36",70.3,"22","071",0.32938847
"10","22071000606","4","41 - 46",75.8,"22","071",0.4279713
"11","22071000607","5","46 - 70",80.8,"22","071",0.47598734
"12","22071000611","2","33 - 36",74.7,"22","071",0.34714037
"13","22071000612","4","41 - 46",80.8,"22","071",0.41690502
"14","22071000613","2","33 - 36",72.9,"22","071",0.33704287
"15","22071000615","5","46 - 70",79.3,"22","071",0.47858101
"16","22071000616","3","36 - 41",75.3,"22","071",0.39759049
"17","22071000617","3","36 - 41",73.7,"22","071",0.36578718
"18","22071000618","4","41 - 46",82.2,"22","071",0.42273411
"19","22071000701","1","22 - 32",NA,"22","071",0.3076154
"20","22071000702","2","33 - 36",73.1,"22","071",0.3300994
"21","22071000800","1","22 - 32",71.7,"22","071",0.31024253
"22","22071000901","1","22 - 32",NA,"22","071",0.30709121
"23","22071000902","1","22 - 32",NA,"22","071",0.30165213
"24","22071000903","1","22 - 32",NA,"22","071",0.31243086
"25","22071000904","1","22 - 32",66.6,"22","071",0.29929939
"26","22071001100","1","22 - 32",72.1,"22","071",0.31988293
"27","22071001200","1","22 - 32",71.4,"22","071",0.32407999
"28","22071001301","1","22 - 32",68.1,"22","071",0.30770895
"29","22071001302","1","22 - 32",62.6,"22","071",0.28316727
"30","22071001401","1","22 - 32",71.3,"22","071",0.29235476
"31","22071001402","1","22 - 32",68.7,"22","071",0.31132677
"32","22071001500","1","22 - 32",72.5,"22","071",0.29915738
"33","22071001600","1","22 - 32",NA,"22","071",0.21604462
"34","22071001701","2","33 - 36",78.4,"22","071",0.35305816
"35","22071001702","2","33 - 36",75.5,"22","071",0.35476804
"36","22071001720","1","22 - 32",71.4,"22","071",0.32474378
"37","22071001722","1","22 - 32",73.4,"22","071",0.32336777
"38","22071001723","2","33 - 36",78.1,"22","071",0.34444326
"39","22071001724","3","36 - 41",68.8,"22","071",0.37752029
"40","22071001725","2","33 - 36",77.2,"22","071",0.35853171
"41","22071001730","3","36 - 41",NA,"22","071",0.36509514
"42","22071001734","4","41 - 46",NA,"22","071",0.45300806
"43","22071001735","2","33 - 36",72.7,"22","071",0.33020535
"44","22071001736","2","33 - 36",NA,"22","071",0.33965507
"45","22071001737","2","33 - 36",75.3,"22","071",0.3351391
"46","22071001739","3","36 - 41",75.7,"22","071",0.37253428
"47","22071001740","3","36 - 41",76.6,"22","071",0.36436069
"48","22071001741","3","36 - 41",72,"22","071",0.38330421
"49","22071001743","2","33 - 36",72.1,"22","071",0.35839438
"50","22071001744","2","33 - 36",71.7,"22","071",0.35102192
"51","22071001745","2","33 - 36",73.8,"22","071",0.3501173
"52","22071001746","2","33 - 36",69.5,"22","071",0.32517666
"53","22071001747","3","36 - 41",82.4,"22","071",0.39149252
"54","22071001748","3","36 - 41",76.8,"22","071",0.3794837
"55","22071001749","4","41 - 46",78.4,"22","071",0.45054129
"56","22071001750","5","46 - 70",75.9,"22","071",0.47808778
"57","22071001751","1","22 - 32",74.1,"22","071",0.31835422
"58","22071001800","2","33 - 36",NA,"22","071",0.33084193
"59","22071001900","1","22 - 32",72.9,"22","071",0.29547411
"60","22071002000","1","22 - 32",65.3,"22","071",0.28500423
"61","22071002100","2","33 - 36",NA,"22","071",0.34703493
"62","22071002200","1","22 - 32",71.7,"22","071",0.32107008
"63","22071002300","2","33 - 36",70.8,"22","071",0.33287132
"64","22071002401","2","33 - 36",78.5,"22","071",0.35247564
"65","22071002402","2","33 - 36",72.5,"22","071",0.33082634
"66","22071002501","3","36 - 41",75.5,"22","071",0.40504786
"67","22071002502","2","33 - 36",73.1,"22","071",0.33304328
"68","22071002503","2","33 - 36",78.1,"22","071",0.35700193
"69","22071002504","3","36 - 41",76.4,"22","071",0.40417954
"70","22071002600","1","22 - 32",80.1,"22","071",0.27402633
"71","22071002700","1","22 - 32",65.6,"22","071",0.29185238
"72","22071002800","1","22 - 32",68.3,"22","071",0.29005539
"73","22071002900","1","22 - 32",64.8,"22","071",0.28111833
"74","22071003000","1","22 - 32",68.4,"22","071",0.30324826
"75","22071003100","2","33 - 36",68.5,"22","071",0.33835545
"76","22071003301","4","41 - 46",73.6,"22","071",0.4516522
"77","22071003302","2","33 - 36",79.9,"22","071",0.33333835
"78","22071003303","3","36 - 41",75.4,"22","071",0.38619569
"79","22071003304","2","33 - 36",NA,"22","071",0.3605676
"80","22071003307","2","33 - 36",NA,"22","071",0.35552084
"81","22071003308","2","33 - 36",73.5,"22","071",0.35000402
"82","22071003400","1","22 - 32",73.5,"22","071",0.29164323
"83","22071003500","1","22 - 32",68.9,"22","071",0.3220841
"84","22071003600","2","33 - 36",70.9,"22","071",0.32936504
"85","22071003701","2","33 - 36",NA,"22","071",0.34900123
"86","22071003702","2","33 - 36",81.9,"22","071",0.33725372
"87","22071003800","4","41 - 46",78.5,"22","071",0.42523053
"88","22071003900","1","22 - 32",74.5,"22","071",0.31126004
"89","22071004000","1","22 - 32",77,"22","071",0.29686856
"90","22071004100","1","22 - 32",80.1,"22","071",0.32350975
"91","22071004401","1","22 - 32",66.4,"22","071",0.31525162
"92","22071004402","1","22 - 32",NA,"22","071",0.2546331
"93","22071004500","2","33 - 36",72.9,"22","071",0.33996457
"94","22071004600","4","41 - 46",79.9,"22","071",0.4513039
"95","22071004800","1","22 - 32",NA,"22","071",0.27364475
"96","22071004900","1","22 - 32",71.8,"22","071",0.27974743
"97","22071005000","2","33 - 36",NA,"22","071",0.34773904
"98","22071005400","3","36 - 41",78.8,"22","071",0.40048364
"99","22071005500","5","46 - 70",84.2,"22","071",0.46802038
"100","22071005601","5","46 - 70",83.2,"22","071",0.51937115
"101","22071005602","5","46 - 70",88.1,"22","071",0.51803297
"102","22071005603","5","46 - 70",79.2,"22","071",0.49117342
"103","22071005604","5","46 - 70",80.9,"22","071",0.58547884
"104","22071006000","1","22 - 32",NA,"22","071",0.31037873
"105","22071006300","2","33 - 36",75.9,"22","071",0.32869953
"106","22071006400","2","33 - 36",77,"22","071",0.34007588
"107","22071006500","2","33 - 36",77.6,"22","071",0.34120128
"108","22071006900","1","22 - 32",67.5,"22","071",0.2648263
"109","22071007000","1","22 - 32",NA,"22","071",0.30385628
"110","22071007101","2","33 - 36",74.2,"22","071",0.33692911
"111","22071007200","1","22 - 32",71.7,"22","071",0.30226061
"112","22071007501","2","33 - 36",72.8,"22","071",0.32668284
"113","22071007502","1","22 - 32",72.1,"22","071",0.30560869
"114","22071007604","4","41 - 46",80.4,"22","071",0.43344703
"115","22071007605","1","22 - 32",77.8,"22","071",0.26210684
"116","22071007606","5","46 - 70",82.7,"22","071",0.49029008
"117","22071007700","1","22 - 32",80.3,"22","071",0.3206749
"118","22071007800","1","22 - 32",NA,"22","071",0.32110968
"119","22071008200","2","33 - 36",75.5,"22","071",0.34435952
"120","22071008300","1","22 - 32",79,"22","071",0.31602722
"121","22071008400","1","22 - 32",78,"22","071",0.31200254
"122","22071008500","1","22 - 32",NA,"22","071",0.24439198
"123","22071008600","1","22 - 32",72.9,"22","071",0.31310385
"124","22071008800","1","22 - 32",75.5,"22","071",0.31675482
"125","22071009000","5","46 - 70",80.7,"22","071",0.47730416
"126","22071009100","1","22 - 32",73.8,"22","071",0.31260201
"127","22071009200","1","22 - 32",72.1,"22","071",0.27924368
"128","22071009400","1","22 - 32",62.3,"22","071",0.3043952
"129","22071009600","2","33 - 36",74.4,"22","071",0.32719424
"130","22071009700","1","22 - 32",76.1,"22","071",0.31016257
"131","22071009900","3","36 - 41",75.7,"22","071",0.39314514
"132","22071010000","1","22 - 32",74.3,"22","071",0.29279327
"133","22071010100","2","33 - 36",NA,"22","071",0.35155752
"134","22071010200","1","22 - 32",71.7,"22","071",0.30456638
"135","22071010300","1","22 - 32",75.7,"22","071",0.30696374
"136","22071010600","1","22 - 32",75.3,"22","071",0.30779374
"137","22071010700","3","36 - 41",82.1,"22","071",0.36521655
"138","22071010800","3","36 - 41",81.3,"22","071",0.40538892
"139","22071010900","2","33 - 36",83.7,"22","071",0.35397458
"140","22071011100","2","33 - 36",75.4,"22","071",0.33145064
"141","22071011200","3","36 - 41",79.5,"22","071",0.3953785
"142","22071011400","4","41 - 46",81,"22","071",0.45220125
"143","22071011500","5","46 - 70",81.4,"22","071",0.50569808
"144","22071011600","5","46 - 70",78.7,"22","071",0.50696599
"145","22071011700","5","46 - 70",80.7,"22","071",0.5226475
"146","22071011900","5","46 - 70",NA,"22","071",0.46271637
"147","22071012000","4","41 - 46",86.8,"22","071",0.45970199
"148","22071012101","4","41 - 46",82.8,"22","071",0.43226114
"149","22071012102","5","46 - 70",NA,"22","071",0.69757873
"150","22071012200","3","36 - 41",80.5,"22","071",0.37843123
"151","22071012300","1","22 - 32",74.1,"22","071",0.32298261
"152","22071012400","2","33 - 36",80.1,"22","071",0.33191898
"153","22071012500","1","22 - 32",77.3,"22","071",0.30618337
"154","22071012600","3","36 - 41",79.9,"22","071",0.38863194
"155","22071012700","2","33 - 36",78.2,"22","071",0.35506129
"156","22071012800","2","33 - 36",74.1,"22","071",0.35761803
"157","22071012900","2","33 - 36",75.4,"22","071",0.35039446
"158","22071013000","1","22 - 32",77.2,"22","071",0.32201445
"159","22071013100","1","22 - 32",73.5,"22","071",0.28225243
"160","22071013200","1","22 - 32",NA,"22","071",0.31895292
"161","22071013301","5","46 - 70",85.1,"22","071",0.47729188
"162","22071013302","5","46 - 70",80.4,"22","071",0.57466978
"163","22071013400","3","36 - 41",78.8,"22","071",0.37484717
"164","22071013500","3","36 - 41",NA,"22","071",0.41052669
"165","22071013600","1","22 - 32",68.5,"22","071",0.28389356
"166","22071013700","1","22 - 32",66,"22","071",0.30546638
"167","22071013800","1","22 - 32",69.9,"22","071",0.29546922
"168","22071013900","2","33 - 36",81.2,"22","071",0.32734713
"169","22071014000","1","22 - 32",72.1,"22","071",0.27653864
"170","22071014100","1","22 - 32",NA,"22","071",0.3211416
"171","22071014200","1","22 - 32",76.7,"22","071",0.29984468
"172","22071014300","1","22 - 32",69.5,"22","071",0.29084855
"173","22071014400","2","33 - 36",77.1,"22","071",0.35418421
"174","22071014500",NA,"Missing",NA,"22","071",NA
"175","22051020101","4","41 - 46",76.3,"22","051",0.41142592
"176","22051020102","5","46 - 70",81.3,"22","051",0.49333498
"177","22051020201","5","46 - 70",80.2,"22","051",0.50705278
"178","22051020202","3","36 - 41",NA,"22","051",0.40967003
"179","22051020203","5","46 - 70",82.1,"22","051",0.48656404
"180","22051020301","5","46 - 70",81.4,"22","051",0.4891535
"181","22051020302","5","46 - 70",80.7,"22","051",0.48334581
"182","22051020303","5","46 - 70",80.3,"22","051",0.48036489
"183","22051020400","5","46 - 70",80.6,"22","051",0.54299814
"184","22051020502","4","41 - 46",79.2,"22","051",0.41917133
"185","22051020505","1","22 - 32",NA,"22","051",0.32410848
"186","22051020506","5","46 - 70",NA,"22","051",0.46017906
"187","22051020507","5","46 - 70",79.5,"22","051",0.49819955
"188","22051020508","4","41 - 46",80.5,"22","051",0.41493428
"189","22051020511","5","46 - 70",80.7,"22","051",0.4748928
"190","22051020512","5","46 - 70",78.6,"22","051",0.47148001
"191","22051020513","5","46 - 70",79.3,"22","051",0.46929193
"192","22051020514","5","46 - 70",82.7,"22","051",0.56301111
"193","22051020515","4","41 - 46",78.2,"22","051",0.44228104
"194","22051020516","3","36 - 41",74.9,"22","051",0.38539293
"195","22051020517","4","41 - 46",79.8,"22","051",0.44785213
"196","22051020600","2","33 - 36",74.4,"22","051",0.33177352
"197","22051020700","2","33 - 36",68.8,"22","051",0.34925762
"198","22051021000","2","33 - 36",75.4,"22","051",0.36296412
"199","22051021100","4","41 - 46",74.6,"22","051",0.43050307
"200","22051021200","2","33 - 36",75.5,"22","051",0.36293313
"201","22051021300","5","46 - 70",77.7,"22","051",0.46922177
"202","22051021400","4","41 - 46",80.9,"22","051",0.43230066
"203","22051021500","3","36 - 41",72.6,"22","051",0.40931088
"204","22051021600","4","41 - 46",78.9,"22","051",0.44414696
"205","22051021700","4","41 - 46",77,"22","051",0.43985328
"206","22051021801","5","46 - 70",78.2,"22","051",0.51245391
"207","22051021803","3","36 - 41",75.9,"22","051",0.37377864
"208","22051021804","4","41 - 46",74.4,"22","051",0.43578243
"209","22051021900","5","46 - 70",77.6,"22","051",0.54775858
"210","22051022001","3","36 - 41",75.8,"22","051",0.40110344
"211","22051022002","5","46 - 70",80.1,"22","051",0.58789641
"212","22051022101","5","46 - 70",81.3,"22","051",0.58232713
"213","22051022102","3","36 - 41",80.9,"22","051",0.40205002
"214","22051022200","4","41 - 46",74.1,"22","051",0.45020479
"215","22051022301","5","46 - 70",80.8,"22","051",0.53350914
"216","22051022302","3","36 - 41",75.7,"22","051",0.39103711
"217","22051022303","5","46 - 70",78.4,"22","051",0.49135372
"218","22051022400","5","46 - 70",81.5,"22","051",0.48859233
"219","22051022500","5","46 - 70",81.5,"22","051",0.50066417
"220","22051022600","5","46 - 70",82.8,"22","051",0.49195939
"221","22051022700","5","46 - 70",81.8,"22","051",0.50465357
"222","22051022800","5","46 - 70",78.1,"22","051",0.47550479
"223","22051022900","4","41 - 46",75.2,"22","051",0.43762705
"224","22051023001","5","46 - 70",80.5,"22","051",0.53652841
"225","22051023002","5","46 - 70",82,"22","051",0.49215922
"226","22051023003","4","41 - 46",80.8,"22","051",0.45784667
"227","22051023100","3","36 - 41",79.4,"22","051",0.40357113
"228","22051023200","3","36 - 41",73.2,"22","051",0.40093389
"229","22051023300","4","41 - 46",76.5,"22","051",0.44093296
"230","22051023400","5","46 - 70",77.8,"22","051",0.47428554
"231","22051023500","4","41 - 46",76.8,"22","051",0.42082179
"232","22051023600","4","41 - 46",73.9,"22","051",0.41602397
"233","22051023700","1","22 - 32",72.4,"22","051",0.32216692
"234","22051023800","3","36 - 41",74.4,"22","051",0.37257481
"235","22051023901","5","46 - 70",77.7,"22","051",0.49462238
"236","22051023902","5","46 - 70",80.9,"22","051",0.56529182
"237","22051023903","5","46 - 70",80.4,"22","051",0.4997358
"238","22051023904","5","46 - 70",80,"22","051",0.46622846
"239","22051024001","5","46 - 70",77,"22","051",0.46597287
"240","22051024002","5","46 - 70",NA,"22","051",0.52804035
"241","22051024100","5","46 - 70",76.4,"22","051",0.46181485
"242","22051024201","4","41 - 46",74.6,"22","051",0.42195296
"243","22051024202","3","36 - 41",79.2,"22","051",0.4064042
"244","22051024300","4","41 - 46",78,"22","051",0.4143112
"245","22051024400","4","41 - 46",75.4,"22","051",0.41364145
"246","22051024500","4","41 - 46",77.3,"22","051",0.45927221
"247","22051024600","1","22 - 32",74.1,"22","051",0.30291972
"248","22051024700","3","36 - 41",70.2,"22","051",0.37646499
"249","22051024800","5","46 - 70",82.5,"22","051",0.51391214
"250","22051024900","2","33 - 36",68.8,"22","051",0.34775141
"251","22051025001","3","36 - 41",74.7,"22","051",0.3950766
"252","22051025002","4","41 - 46",73,"22","051",0.41644996
"253","22051025003","5","46 - 70",75.8,"22","051",0.51233494
"254","22051025102","5","46 - 70",77.8,"22","051",0.47242755
"255","22051025103","3","36 - 41",78.1,"22","051",0.40427512
"256","22051025104","3","36 - 41",77,"22","051",0.4102245
"257","22051025201","2","33 - 36",73.6,"22","051",0.3387332
"258","22051025202","3","36 - 41",74.5,"22","051",0.38759404
"259","22051025300","4","41 - 46",76.8,"22","051",0.4428243
"260","22051025400","2","33 - 36",74.9,"22","051",0.34948099
"261","22051025500","1","22 - 32",75.5,"22","051",0.32297891
"262","22051025600","3","36 - 41",74.3,"22","051",0.40060395
"263","22051025700","2","33 - 36",69,"22","051",0.32715222
"264","22051025800","2","33 - 36",70.9,"22","051",0.35702103
"265","22051025900","3","36 - 41",75.1,"22","051",0.36691931
"266","22051026000","4","41 - 46",69.3,"22","051",0.41093773
"267","22051026100","2","33 - 36",71.1,"22","051",0.35670972
"268","22051026200","1","22 - 32",NA,"22","051",0.2907134
"269","22051026300","4","41 - 46",75.6,"22","051",0.45913383
"270","22051026400","4","41 - 46",73.9,"22","051",0.41635063
"271","22051026500","4","41 - 46",72.3,"22","051",0.45643976
"272","22051026600","4","41 - 46",71.5,"22","051",0.44083539
"273","22051026700","3","36 - 41",71.2,"22","051",0.37721488
"274","22051026800","2","33 - 36",68,"22","051",0.34427834
"275","22051026900","1","22 - 32",72.2,"22","051",0.313719
"276","22051027000","3","36 - 41",71.9,"22","051",0.38690028
"277","22051027100","4","41 - 46",72.7,"22","051",0.41475156
"278","22051027200","3","36 - 41",72.1,"22","051",0.37513795
"279","22051027501","3","36 - 41",73.8,"22","051",0.38011885
"280","22051027502","1","22 - 32",73.1,"22","051",0.30868733
"281","22051027601","3","36 - 41",73,"22","051",0.41061935
"282","22051027602","2","33 - 36",72.6,"22","051",0.33299029
"283","22051027701","1","22 - 32",73.1,"22","051",0.32333219
"284","22051027703","3","36 - 41",71.9,"22","051",0.37617242
"285","22051027803","3","36 - 41",72.3,"22","051",0.37531933
"286","22051027804","4","41 - 46",77.7,"22","051",0.44483396
"287","22051027805","3","36 - 41",78.2,"22","051",0.40044573
"288","22051027806","4","41 - 46",78.5,"22","051",0.41751298
"289","22051027807","4","41 - 46",79.3,"22","051",0.43182907
"290","22051027809","3","36 - 41",76.9,"22","051",0.40061697
"291","22051027810","4","41 - 46",NA,"22","051",0.41292647
"292","22051027811","3","36 - 41",75.5,"22","051",0.3753708
"293","22051027812","3","36 - 41",70.8,"22","051",0.37239608
"294","22051027901","5","46 - 70",75.3,"22","051",0.49408323
"295","22051027902","5","46 - 70",73.8,"22","051",0.49006495
"296","22051028000","4","41 - 46",76,"22","051",0.42561764
"297","22051028100","2","33 - 36",71.8,"22","051",0.33172053
"298","22051028200","2","33 - 36",72.2,"22","051",0.35428831
"299","22087030103","3","36 - 41",72.6,"22","087",0.39854351
"300","22087030104","3","36 - 41",73,"22","087",0.36837739
"301","22087030105","4","41 - 46",NA,"22","087",0.41806042
"302","22087030203","4","41 - 46",73.5,"22","087",0.42291686
"303","22087030204","2","33 - 36",71.9,"22","087",0.35970116
"304","22087030206","4","41 - 46",73,"22","087",0.45073402
"305","22087030207","5","46 - 70",78.1,"22","087",0.46359783
"306","22087030208","5","46 - 70",77,"22","087",0.48946619
"307","22087030209","5","46 - 70",76.9,"22","087",0.46338549
"308","22087030300","3","36 - 41",76.9,"22","087",0.3973673
"309","22087030400","4","41 - 46",74.4,"22","087",0.44280913
"310","22087030500","4","41 - 46",74.9,"22","087",0.43236521
"311","22087030601","5","46 - 70",NA,"22","087",0.48647356
"312","22087030602","4","41 - 46",74.2,"22","087",0.44672108
"313","22087030603","3","36 - 41",NA,"22","087",0.39613235
"314","22087030700","4","41 - 46",75.5,"22","087",0.45936641
"315","22087030800","3","36 - 41",72.4,"22","087",0.40324315
"316","22093040100","4","41 - 46",75,"22","093",0.45244277
"317","22103040102","3","36 - 41",75.8,"22","103",0.40301439
"318","22103040103","5","46 - 70",76.4,"22","103",0.46405742
"319","22103040104","4","41 - 46",77.6,"22","103",0.4131577
"320","22093040200","4","41 - 46",75.1,"22","093",0.42006019
"321","22103040201","4","41 - 46",78.4,"22","103",0.43301189
"322","22103040202","4","41 - 46",78.5,"22","103",0.45749781
"323","22093040300","5","46 - 70",80.4,"22","093",0.52049369
"324","22103040303","4","41 - 46",79.3,"22","103",0.45437708
"325","22103040304","5","46 - 70",83.6,"22","103",0.51887637
"326","22103040305","4","41 - 46",80.5,"22","103",0.41922241
"327","22093040400","2","33 - 36",74,"22","093",0.35281625
"328","22103040400","4","41 - 46",81.4,"22","103",0.43171719
"329","22093040500","2","33 - 36",75.1,"22","093",0.35208344
"330","22103040501","2","33 - 36",74.1,"22","103",0.35390022
"331","22103040502","4","41 - 46",77.6,"22","103",0.42676926
"332","22093040600","2","33 - 36",77,"22","093",0.36003339
"333","22103040601","2","33 - 36",78.1,"22","103",0.34556338
"334","22103040602","5","46 - 70",78.5,"22","103",0.56180799
"335","22103040604","4","41 - 46",81.4,"22","103",0.44311282
"336","22103040605","4","41 - 46",79.2,"22","103",0.45117795
"337","22093040700","4","41 - 46",79,"22","093",0.45745614
"338","22103040701","3","36 - 41",78.4,"22","103",0.39454335
"339","22103040704","2","33 - 36",NA,"22","103",0.3610127
"340","22103040705","3","36 - 41",75.4,"22","103",0.39531448
"341","22103040706","4","41 - 46",75.7,"22","103",0.41954482
"342","22103040708","4","41 - 46",NA,"22","103",0.45970389
"343","22103040709","5","46 - 70",76.6,"22","103",0.47835511
"344","22103040710","3","36 - 41",79.4,"22","103",0.392432
"345","22103040801","4","41 - 46",76.7,"22","103",0.42073682
"346","22103040802","5","46 - 70",NA,"22","103",0.49029869
"347","22103040803","3","36 - 41",75,"22","103",0.38007227
"348","22103040900","3","36 - 41",69.5,"22","103",0.37540951
"349","22103041002","4","41 - 46",77.6,"22","103",0.45700607
"350","22103041003","4","41 - 46",78.6,"22","103",0.42152998
"351","22103041004","4","41 - 46",76.7,"22","103",0.43979162
"352","22103041101","3","36 - 41",75.4,"22","103",0.40696406
"353","22103041102","3","36 - 41",75.7,"22","103",0.37469825
"354","22103041103","2","33 - 36",69.8,"22","103",0.34241125
"355","22103041104","3","36 - 41",75.9,"22","103",0.4092806
"356","22103041202","3","36 - 41",76.6,"22","103",0.37622777
"357","22103041204","3","36 - 41",75.8,"22","103",0.40530306
"358","22103041207","5","46 - 70",78.8,"22","103",0.51430398
"359","22103041208","5","46 - 70",83,"22","103",0.5565691
"360","22103041209","5","46 - 70",80.3,"22","103",0.46376932
"361","22103041210","3","36 - 41",76.9,"22","103",0.38166675
"362","22103041211","4","41 - 46",78.8,"22","103",0.43522391
"363","22103041212","5","46 - 70",NA,"22","103",0.47410971
"364","22103041300","5","46 - 70",81.5,"22","103",0.48716533
"365","22075050100","3","36 - 41",75.5,"22","075",0.36973724
"366","22075050200","5","46 - 70",78.4,"22","075",0.47843194
"367","22075050300","4","41 - 46",77.2,"22","075",0.44242755
"368","22075050400","2","33 - 36",NA,"22","075",0.35887188
"369","22075050500","3","36 - 41",71.5,"22","075",0.40162355
"370","22075050600","4","41 - 46",71.1,"22","075",0.4411096
"371","22075050700","5","46 - 70",NA,"22","075",0.47337684
"372","22075050800","3","36 - 41",72.2,"22","075",0.40123272
"373","22089060100","3","36 - 41",78.1,"22","089",0.40373176
"374","22089062100","4","41 - 46",79.5,"22","089",0.42752853
"375","22089062200","2","33 - 36",NA,"22","089",0.35207239
"376","22089062301","5","46 - 70",77.9,"22","089",0.49547526
"377","22089062302","5","46 - 70",80.6,"22","089",0.46144241
"378","22089062400","3","36 - 41",72.2,"22","089",0.39806476
"379","22089062500","4","41 - 46",76.1,"22","089",0.42806646
"380","22089062700","3","36 - 41",75.3,"22","089",0.39543349
"381","22089062800","3","36 - 41",72.7,"22","089",0.40058437
"382","22089062900","4","41 - 46",76.5,"22","089",0.45409349
"383","22089063000","5","46 - 70",77.8,"22","089",0.51426929
"384","22089063100","5","46 - 70",79.8,"22","089",0.52209002
"385","22089063200","4","41 - 46",75.8,"22","089",0.45749748
"386","22095070100","3","36 - 41",81,"22","095",0.40993738
"387","22095070200","3","36 - 41",73.9,"22","095",0.36329067
"388","22095070300","4","41 - 46",76.8,"22","095",0.45629355
"389","22095070400","5","46 - 70",78.2,"22","095",0.48229301
"390","22095070500","2","33 - 36",72.1,"22","095",0.34878379
"391","22095070600","2","33 - 36",75.6,"22","095",0.33709297
"392","22095070700","3","36 - 41",75.6,"22","095",0.40057659
"393","22095070800","1","22 - 32",70.7,"22","095",0.32416013
"394","22095070900","2","33 - 36",73,"22","095",0.36237761
"395","22089071000","2","33 - 36",NA,NA,NA,0.35452852
"396","22095071000","3","36 - 41",72.7,"22","095",0.38046381
"397","22095071100","4","41 - 46",75.3,"22","095",0.42543086
"398","22051980000",NA,"Missing",NA,"22","051",NA
"399","22071980000",NA,"Missing",NA,"22","071",NA
