"","GEOID","LE_x","LE_SE_x","disc"
"1","22051020101",76.3,1.4275,"(75.2,79.5]"
"2","22051020102",81.3,1.7616,"(79.5,83.8]"
"3","22051020201",80.2,2.981,"(79.5,83.8]"
"4","22051020203",82.1,1.2149,"(79.5,83.8]"
"5","22051020301",81.4,1.4778,"(79.5,83.8]"
"6","22051020302",80.7,1.4222,"(79.5,83.8]"
"7","22051020303",80.3,1.7033,"(79.5,83.8]"
"8","22051020400",80.6,1.2778,"(79.5,83.8]"
"9","22051020502",79.2,2.4135,"(75.2,79.5]"
"10","22051020507",79.5,1.3123,"(75.2,79.5]"
"11","22051020508",80.5,2.6705,"(79.5,83.8]"
"12","22051020511",80.7,2.044,"(79.5,83.8]"
"13","22051020512",78.6,2.4917,"(75.2,79.5]"
"14","22051020513",79.3,1.4262,"(75.2,79.5]"
"15","22051020514",82.7,1.8083,"(79.5,83.8]"
"16","22051020515",78.2,1.337,"(75.2,79.5]"
"17","22051020516",74.9,2.154,"(70.9,75.2]"
"18","22051020517",79.8,1.3267,"(79.5,83.8]"
"19","22051020600",74.4,1.6224,"(70.9,75.2]"
"20","22051020700",68.8,3.02,"(66.6,70.9]"
"21","22051021000",75.4,1.6239,"(75.2,79.5]"
"22","22051021100",74.6,1.9063,"(70.9,75.2]"
"23","22051021200",75.5,1.8194,"(75.2,79.5]"
"24","22051021300",77.7,1.6104,"(75.2,79.5]"
"25","22051021400",80.9,2.1809,"(79.5,83.8]"
"26","22051021500",72.6,1.7923,"(70.9,75.2]"
"27","22051021600",78.9,0.9476,"(75.2,79.5]"
"28","22051021700",77,1.2211,"(75.2,79.5]"
"29","22051021801",78.2,1.3196,"(75.2,79.5]"
"30","22051021803",75.9,2.7542,"(75.2,79.5]"
"31","22051021804",74.4,2.7982,"(70.9,75.2]"
"32","22051021900",77.6,1.7631,"(75.2,79.5]"
"33","22051022001",75.8,1.804,"(75.2,79.5]"
"34","22051022002",80.1,1.1219,"(79.5,83.8]"
"35","22051022101",81.3,1.8904,"(79.5,83.8]"
"36","22051022102",80.9,1.7414,"(79.5,83.8]"
"37","22051022200",74.1,3.1121,"(70.9,75.2]"
"38","22051022301",80.8,2.4251,"(79.5,83.8]"
"39","22051022302",75.7,2.3927,"(75.2,79.5]"
"40","22051022303",78.4,2.6026,"(75.2,79.5]"
"41","22051022400",81.5,1.2592,"(79.5,83.8]"
"42","22051022500",81.5,2.1319,"(79.5,83.8]"
"43","22051022600",82.8,1.6033,"(79.5,83.8]"
"44","22051022700",81.8,2.0889,"(79.5,83.8]"
"45","22051022800",78.1,1.5873,"(75.2,79.5]"
"46","22051022900",75.2,1.7505,"(75.2,79.5]"
"47","22051023001",80.5,1.3234,"(79.5,83.8]"
"48","22051023002",82,1.9332,"(79.5,83.8]"
"49","22051023003",80.8,2.2919,"(79.5,83.8]"
"50","22051023100",79.4,2.5442,"(75.2,79.5]"
"51","22051023200",73.2,2.4352,"(70.9,75.2]"
"52","22051023300",76.5,1.8273,"(75.2,79.5]"
"53","22051023400",77.8,1.833,"(75.2,79.5]"
"54","22051023500",76.8,1.4592,"(75.2,79.5]"
"55","22051023600",73.9,1.5647,"(70.9,75.2]"
"56","22051023700",72.4,2.3421,"(70.9,75.2]"
"57","22051023800",74.4,1.7286,"(70.9,75.2]"
"58","22051023901",77.7,1.3425,"(75.2,79.5]"
"59","22051023902",80.9,1.4696,"(79.5,83.8]"
"60","22051023903",80.4,1.5253,"(79.5,83.8]"
"61","22051023904",80,2.3061,"(79.5,83.8]"
"62","22051024001",77,1.5734,"(75.2,79.5]"
"63","22051024100",76.4,1.0797,"(75.2,79.5]"
"64","22051024201",74.6,1.9985,"(70.9,75.2]"
"65","22051024202",79.2,3.0961,"(75.2,79.5]"
"66","22051024300",78,2.0654,"(75.2,79.5]"
"67","22051024400",75.4,0.9479,"(75.2,79.5]"
"68","22051024500",77.3,2.1492,"(75.2,79.5]"
"69","22051024600",74.1,2.4414,"(70.9,75.2]"
"70","22051024700",70.2,1.7645,"(66.6,70.9]"
"71","22051024800",82.5,1.5258,"(79.5,83.8]"
"72","22051024900",68.8,2.9105,"(66.6,70.9]"
"73","22051025001",74.7,1.0671,"(70.9,75.2]"
"74","22051025002",73,1.4538,"(70.9,75.2]"
"75","22051025003",75.8,2.3169,"(75.2,79.5]"
"76","22051025102",77.8,1.9345,"(75.2,79.5]"
"77","22051025103",78.1,2.5002,"(75.2,79.5]"
"78","22051025104",77,3.07,"(75.2,79.5]"
"79","22051025201",73.6,1.9386,"(70.9,75.2]"
"80","22051025202",74.5,1.3916,"(70.9,75.2]"
"81","22051025300",76.8,1.8449,"(75.2,79.5]"
"82","22051025400",74.9,1.7879,"(70.9,75.2]"
"83","22051025500",75.5,2.1549,"(75.2,79.5]"
"84","22051025600",74.3,2.2364,"(70.9,75.2]"
"85","22051025700",69,2.8001,"(66.6,70.9]"
"86","22051025800",70.9,2.1317,"(70.9,75.2]"
"87","22051025900",75.1,1.9238,"(70.9,75.2]"
"88","22051026000",69.3,1.7076,"(66.6,70.9]"
"89","22051026100",71.1,1.589,"(70.9,75.2]"
"90","22051026300",75.6,1.5875,"(75.2,79.5]"
"91","22051026400",73.9,1.8035,"(70.9,75.2]"
"92","22051026500",72.3,1.8167,"(70.9,75.2]"
"93","22051026600",71.5,2.3507,"(70.9,75.2]"
"94","22051026700",71.2,1.8849,"(70.9,75.2]"
"95","22051026800",68,1.9327,"(66.6,70.9]"
"96","22051026900",72.2,1.7671,"(70.9,75.2]"
"97","22051027000",71.9,1.3413,"(70.9,75.2]"
"98","22051027100",72.7,1.373,"(70.9,75.2]"
"99","22051027200",72.1,1.2331,"(70.9,75.2]"
"100","22051027501",73.8,1.9314,"(70.9,75.2]"
"101","22051027502",73.1,2.3484,"(70.9,75.2]"
"102","22051027601",73,1.5821,"(70.9,75.2]"
"103","22051027602",72.6,1.1622,"(70.9,75.2]"
"104","22051027701",73.1,1.618,"(70.9,75.2]"
"105","22051027703",71.9,1.4418,"(70.9,75.2]"
"106","22051027803",72.3,3.7164,"(70.9,75.2]"
"107","22051027804",77.7,1.2452,"(75.2,79.5]"
"108","22051027805",78.2,1.4944,"(75.2,79.5]"
"109","22051027806",78.5,2.1245,"(75.2,79.5]"
"110","22051027807",79.3,2.22,"(75.2,79.5]"
"111","22051027809",76.9,2.5279,"(75.2,79.5]"
"112","22051027811",75.5,3.6464,"(75.2,79.5]"
"113","22051027812",70.8,1.9973,"(66.6,70.9]"
"114","22051027901",75.3,1.3983,"(75.2,79.5]"
"115","22051027902",73.8,1.3421,"(70.9,75.2]"
"116","22051028000",76,1.2418,"(75.2,79.5]"
"117","22051028100",71.8,1.2001,"(70.9,75.2]"
"118","22051028200",72.2,1.7394,"(70.9,75.2]"
"119","22071000100",78.4,2.8053,"(75.2,79.5]"
"120","22071000200",73.5,2.4752,"(70.9,75.2]"
"121","22071000300",71.3,1.4425,"(70.9,75.2]"
"122","22071000400",75.6,2.2632,"(75.2,79.5]"
"123","22071000601",71.3,2.1955,"(70.9,75.2]"
"124","22071000602",77.5,2.711,"(75.2,79.5]"
"125","22071000603",72.9,1.8569,"(70.9,75.2]"
"126","22071000604",73.2,1.7192,"(70.9,75.2]"
"127","22071000605",70.3,1.903,"(66.6,70.9]"
"128","22071000606",75.8,1.6331,"(75.2,79.5]"
"129","22071000607",80.8,1.4846,"(79.5,83.8]"
"130","22071000611",74.7,1.9323,"(70.9,75.2]"
"131","22071000612",80.8,2.5796,"(79.5,83.8]"
"132","22071000613",72.9,1.307,"(70.9,75.2]"
"133","22071000615",79.3,1.9301,"(75.2,79.5]"
"134","22071000616",75.3,1.8914,"(75.2,79.5]"
"135","22071000617",73.7,2.4089,"(70.9,75.2]"
"136","22071000618",82.2,3.196,"(79.5,83.8]"
"137","22071000702",73.1,2.2043,"(70.9,75.2]"
"138","22071000800",71.7,1.3079,"(70.9,75.2]"
"139","22071000904",66.6,2.8305,"[62.3,66.6]"
"140","22071001100",72.1,1.9833,"(70.9,75.2]"
"141","22071001200",71.4,2.6238,"(70.9,75.2]"
"142","22071001301",68.1,3.3763,"(66.6,70.9]"
"143","22071001302",62.6,3.2774,"[62.3,66.6]"
"144","22071001401",71.3,1.4022,"(70.9,75.2]"
"145","22071001402",68.7,2.3751,"(66.6,70.9]"
"146","22071001500",72.5,2.3923,"(70.9,75.2]"
"147","22071001701",78.4,2.3034,"(75.2,79.5]"
"148","22071001702",75.5,2.916,"(75.2,79.5]"
"149","22071001720",71.4,3.3462,"(70.9,75.2]"
"150","22071001722",73.4,1.7594,"(70.9,75.2]"
"151","22071001723",78.1,3.7213,"(75.2,79.5]"
"152","22071001724",68.8,2.7754,"(66.6,70.9]"
"153","22071001725",77.2,3.7427,"(75.2,79.5]"
"154","22071001735",72.7,1.5483,"(70.9,75.2]"
"155","22071001737",75.3,2.2896,"(75.2,79.5]"
"156","22071001739",75.7,2.0247,"(75.2,79.5]"
"157","22071001740",76.6,2.0966,"(75.2,79.5]"
"158","22071001741",72,1.9625,"(70.9,75.2]"
"159","22071001743",72.1,1.8747,"(70.9,75.2]"
"160","22071001744",71.7,1.8566,"(70.9,75.2]"
"161","22071001745",73.8,1.9067,"(70.9,75.2]"
"162","22071001746",69.5,1.3052,"(66.6,70.9]"
"163","22071001747",82.4,2.6051,"(79.5,83.8]"
"164","22071001748",76.8,2.0509,"(75.2,79.5]"
"165","22071001749",78.4,3.2113,"(75.2,79.5]"
"166","22071001750",75.9,1.7237,"(75.2,79.5]"
"167","22071001751",74.1,3.2227,"(70.9,75.2]"
"168","22071001900",72.9,1.2247,"(70.9,75.2]"
"169","22071002000",65.3,2.828,"[62.3,66.6]"
"170","22071002200",71.7,2.0392,"(70.9,75.2]"
"171","22071002300",70.8,2.8251,"(66.6,70.9]"
"172","22071002401",78.5,1.7103,"(75.2,79.5]"
"173","22071002402",72.5,1.8485,"(70.9,75.2]"
"174","22071002501",75.5,2.4878,"(75.2,79.5]"
"175","22071002502",73.1,1.5609,"(70.9,75.2]"
"176","22071002503",78.1,1.2838,"(75.2,79.5]"
"177","22071002504",76.4,1.0302,"(75.2,79.5]"
"178","22071002600",80.1,1.4424,"(79.5,83.8]"
"179","22071002700",65.6,2.2318,"[62.3,66.6]"
"180","22071002800",68.3,2.3116,"(66.6,70.9]"
"181","22071002900",64.8,3.1362,"[62.3,66.6]"
"182","22071003000",68.4,3.053,"(66.6,70.9]"
"183","22071003100",68.5,2.7563,"(66.6,70.9]"
"184","22071003301",73.6,2.1139,"(70.9,75.2]"
"185","22071003302",79.9,2.8065,"(79.5,83.8]"
"186","22071003303",75.4,2.3414,"(75.2,79.5]"
"187","22071003308",73.5,2.0896,"(70.9,75.2]"
"188","22071003400",73.5,3.0325,"(70.9,75.2]"
"189","22071003500",68.9,3.0264,"(66.6,70.9]"
"190","22071003600",70.9,2.0009,"(70.9,75.2]"
"191","22071003702",81.9,3.4572,"(79.5,83.8]"
"192","22071003800",78.5,3.7837,"(75.2,79.5]"
"193","22071003900",74.5,2.6745,"(70.9,75.2]"
"194","22071004000",77,2.9514,"(75.2,79.5]"
"195","22071004100",80.1,1.7785,"(79.5,83.8]"
"196","22071004401",66.4,3.455,"[62.3,66.6]"
"197","22071004500",72.9,2.2475,"(70.9,75.2]"
"198","22071004600",79.9,1.9514,"(79.5,83.8]"
"199","22071004900",71.8,2.9291,"(70.9,75.2]"
"200","22071005400",78.8,1.6236,"(75.2,79.5]"
"201","22071005500",84.2,3.3332,"(83.8,88.1]"
"202","22071005601",83.2,2.259,"(79.5,83.8]"
"203","22071005602",88.1,3.79,"(83.8,88.1]"
"204","22071005603",79.2,2.3136,"(75.2,79.5]"
"205","22071005604",80.9,2.8388,"(79.5,83.8]"
"206","22071006300",75.9,2.6388,"(75.2,79.5]"
"207","22071006400",77,1.8748,"(75.2,79.5]"
"208","22071006500",77.6,1.5397,"(75.2,79.5]"
"209","22071006900",67.5,3.7444,"(66.6,70.9]"
"210","22071007101",74.2,1.1181,"(70.9,75.2]"
"211","22071007200",71.7,2.1477,"(70.9,75.2]"
"212","22071007501",72.8,1.8045,"(70.9,75.2]"
"213","22071007502",72.1,1.1083,"(70.9,75.2]"
"214","22071007604",80.4,1.1947,"(79.5,83.8]"
"215","22071007605",77.8,3.1473,"(75.2,79.5]"
"216","22071007606",82.7,2.7635,"(79.5,83.8]"
"217","22071007700",80.3,2.7144,"(79.5,83.8]"
"218","22071008200",75.5,1.8189,"(75.2,79.5]"
"219","22071008300",79,2.4828,"(75.2,79.5]"
"220","22071008400",78,3.3728,"(75.2,79.5]"
"221","22071008600",72.9,2.1073,"(70.9,75.2]"
"222","22071008800",75.5,2.595,"(75.2,79.5]"
"223","22071009000",80.7,1.4683,"(79.5,83.8]"
"224","22071009100",73.8,2.1969,"(70.9,75.2]"
"225","22071009200",72.1,1.5398,"(70.9,75.2]"
"226","22071009400",62.3,2.8961,"[62.3,66.6]"
"227","22071009600",74.4,2.7162,"(70.9,75.2]"
"228","22071009700",76.1,3.7959,"(75.2,79.5]"
"229","22071009900",75.7,1.4595,"(75.2,79.5]"
"230","22071010000",74.3,3.0459,"(70.9,75.2]"
"231","22071010200",71.7,1.9723,"(70.9,75.2]"
"232","22071010300",75.7,2.5744,"(75.2,79.5]"
"233","22071010600",75.3,2.9968,"(75.2,79.5]"
"234","22071010700",82.1,3.4954,"(79.5,83.8]"
"235","22071010800",81.3,2.7124,"(79.5,83.8]"
"236","22071010900",83.7,3.578,"(79.5,83.8]"
"237","22071011100",75.4,1.3092,"(75.2,79.5]"
"238","22071011200",79.5,1.9881,"(75.2,79.5]"
"239","22071011400",81,2.1671,"(79.5,83.8]"
"240","22071011500",81.4,3.2765,"(79.5,83.8]"
"241","22071011600",78.7,1.6597,"(75.2,79.5]"
"242","22071011700",80.7,1.052,"(79.5,83.8]"
"243","22071012000",86.8,3.8095,"(83.8,88.1]"
"244","22071012101",82.8,2.3569,"(79.5,83.8]"
"245","22071012200",80.5,1.5565,"(79.5,83.8]"
"246","22071012300",74.1,2.0095,"(70.9,75.2]"
"247","22071012400",80.1,1.547,"(79.5,83.8]"
"248","22071012500",77.3,1.6957,"(75.2,79.5]"
"249","22071012600",79.9,2.5022,"(79.5,83.8]"
"250","22071012700",78.2,1.4767,"(75.2,79.5]"
"251","22071012800",74.1,1.2089,"(70.9,75.2]"
"252","22071012900",75.4,2.6342,"(75.2,79.5]"
"253","22071013000",77.2,3.7972,"(75.2,79.5]"
"254","22071013100",73.5,1.1771,"(70.9,75.2]"
"255","22071013301",85.1,2.1148,"(83.8,88.1]"
"256","22071013302",80.4,1.7226,"(79.5,83.8]"
"257","22071013400",78.8,1.6576,"(75.2,79.5]"
"258","22071013600",68.5,3.374,"(66.6,70.9]"
"259","22071013700",66,1.9342,"[62.3,66.6]"
"260","22071013800",69.9,1.8123,"(66.6,70.9]"
"261","22071013900",81.2,3.3938,"(79.5,83.8]"
"262","22071014000",72.1,1.1622,"(70.9,75.2]"
"263","22071014200",76.7,3.9725,"(75.2,79.5]"
"264","22071014300",69.5,3.4211,"(66.6,70.9]"
"265","22071014400",77.1,2.459,"(75.2,79.5]"
"266","22075050100",75.5,2.7132,"(75.2,79.5]"
"267","22075050200",78.4,1.1059,"(75.2,79.5]"
"268","22075050300",77.2,1.4543,"(75.2,79.5]"
"269","22075050500",71.5,1.6289,"(70.9,75.2]"
"270","22075050600",71.1,3.883,"(70.9,75.2]"
"271","22075050800",72.2,2.1915,"(70.9,75.2]"
"272","22087030103",72.6,1.1811,"(70.9,75.2]"
"273","22087030104",73,2.1688,"(70.9,75.2]"
"274","22087030203",73.5,1.6252,"(70.9,75.2]"
"275","22087030204",71.9,1.4379,"(70.9,75.2]"
"276","22087030206",73,2.4699,"(70.9,75.2]"
"277","22087030207",78.1,1.3062,"(75.2,79.5]"
"278","22087030208",77,3.1973,"(75.2,79.5]"
"279","22087030209",76.9,2.1882,"(75.2,79.5]"
"280","22087030300",76.9,2.9603,"(75.2,79.5]"
"281","22087030400",74.4,2.322,"(70.9,75.2]"
"282","22087030500",74.9,1.9893,"(70.9,75.2]"
"283","22087030602",74.2,1.7595,"(70.9,75.2]"
"284","22087030700",75.5,2.1335,"(75.2,79.5]"
"285","22087030800",72.4,1.6448,"(70.9,75.2]"
"286","22089060100",78.1,2.3769,"(75.2,79.5]"
"287","22089062100",79.5,2.7676,"(75.2,79.5]"
"288","22089062301",77.9,1.3599,"(75.2,79.5]"
"289","22089062302",80.6,2.0626,"(79.5,83.8]"
"290","22089062400",72.2,1.5474,"(70.9,75.2]"
"291","22089062500",76.1,1.5226,"(75.2,79.5]"
"292","22089062700",75.3,1.1982,"(75.2,79.5]"
"293","22089062800",72.7,2.2884,"(70.9,75.2]"
"294","22089062900",76.5,1.5436,"(75.2,79.5]"
"295","22089063000",77.8,2.4805,"(75.2,79.5]"
"296","22089063100",79.8,1.9032,"(79.5,83.8]"
"297","22089063200",75.8,1.6262,"(75.2,79.5]"
"298","22093040100",75,2.1831,"(70.9,75.2]"
"299","22093040200",75.1,1.5996,"(70.9,75.2]"
"300","22093040300",80.4,2.7348,"(79.5,83.8]"
"301","22093040400",74,1.2317,"(70.9,75.2]"
"302","22093040500",75.1,1.983,"(70.9,75.2]"
"303","22093040600",77,1.9997,"(75.2,79.5]"
"304","22093040700",79,1.6724,"(75.2,79.5]"
"305","22095070100",81,2.6832,"(79.5,83.8]"
"306","22095070200",73.9,2.2917,"(70.9,75.2]"
"307","22095070300",76.8,1.5589,"(75.2,79.5]"
"308","22095070400",78.2,1.4292,"(75.2,79.5]"
"309","22095070500",72.1,1.7968,"(70.9,75.2]"
"310","22095070600",75.6,3.4304,"(75.2,79.5]"
"311","22095070700",75.6,1.2154,"(75.2,79.5]"
"312","22095070800",70.7,2.8563,"(66.6,70.9]"
"313","22095070900",73,1.6241,"(70.9,75.2]"
"314","22095071000",72.7,1.7829,"(70.9,75.2]"
"315","22095071100",75.3,1.4031,"(75.2,79.5]"
"316","22103040102",75.8,1.0235,"(75.2,79.5]"
"317","22103040103",76.4,1.6127,"(75.2,79.5]"
"318","22103040104",77.6,1.1824,"(75.2,79.5]"
"319","22103040201",78.4,1.1702,"(75.2,79.5]"
"320","22103040202",78.5,1.5184,"(75.2,79.5]"
"321","22103040303",79.3,0.9355,"(75.2,79.5]"
"322","22103040304",83.6,1.8148,"(79.5,83.8]"
"323","22103040305",80.5,1.7525,"(79.5,83.8]"
"324","22103040400",81.4,1.7748,"(79.5,83.8]"
"325","22103040501",74.1,1.3788,"(70.9,75.2]"
"326","22103040502",77.6,1.2655,"(75.2,79.5]"
"327","22103040601",78.1,1.4879,"(75.2,79.5]"
"328","22103040602",78.5,1.263,"(75.2,79.5]"
"329","22103040604",81.4,2.0448,"(79.5,83.8]"
"330","22103040605",79.2,1.1667,"(75.2,79.5]"
"331","22103040701",78.4,1.4572,"(75.2,79.5]"
"332","22103040705",75.4,1.1141,"(75.2,79.5]"
"333","22103040706",75.7,1.7766,"(75.2,79.5]"
"334","22103040709",76.6,1.2806,"(75.2,79.5]"
"335","22103040710",79.4,1.3932,"(75.2,79.5]"
"336","22103040801",76.7,1.3259,"(75.2,79.5]"
"337","22103040803",75,1.1847,"(70.9,75.2]"
"338","22103040900",69.5,1.7784,"(66.6,70.9]"
"339","22103041002",77.6,2.1288,"(75.2,79.5]"
"340","22103041003",78.6,1.6554,"(75.2,79.5]"
"341","22103041004",76.7,1.1435,"(75.2,79.5]"
"342","22103041101",75.4,1.2212,"(75.2,79.5]"
"343","22103041102",75.7,1.2841,"(75.2,79.5]"
"344","22103041103",69.8,1.5117,"(66.6,70.9]"
"345","22103041104",75.9,1.7242,"(75.2,79.5]"
"346","22103041202",76.6,2.392,"(75.2,79.5]"
"347","22103041204",75.8,0.9728,"(75.2,79.5]"
"348","22103041207",78.8,1.0942,"(75.2,79.5]"
"349","22103041208",83,2.9641,"(79.5,83.8]"
"350","22103041209",80.3,1.3444,"(79.5,83.8]"
"351","22103041210",76.9,1.7781,"(75.2,79.5]"
"352","22103041211",78.8,1.3868,"(75.2,79.5]"
"353","22103041300",81.5,1.9154,"(79.5,83.8]"
